candidate_id,adm3_name,adm4_name,adm4_pcode,lat,lon,spatial_group,gap_score,population_score,is_rural,safety_score,elevation_score,nearest_tower_km,population_2020,earthquake_score,cyclone_score,flood_score,elevation_m,label_suitability_score,optimal_site,label_source
40,Thanlyin,Hpar Ku (West),MMR013023003,16.921189722010425,96.37470176055756,Thanlyin,0.1778781331262672,0.63241878436202,1,0.5397200143753413,0.05405405405405406,4.446953328156682,3803.702115178108,0.4554081181374646,0.4878872347187578,0.0,3.0,41.900079,0,dashboard_rule_top_quartile_v1
41,Thanlyin,Day Zat,MMR013023004,16.898894022108486,96.36780247064031,Thanlyin,0.108335136719455,0.6910320276180251,1,0.5423698441334306,0.10810810810810811,2.708378417986376,8167.617745280266,0.4486962283684836,0.5082557450223886,0.0,5.0,41.435967,0,dashboard_rule_top_quartile_v1
42,Thanlyin,Yone Tha Pyay Kan,MMR013023005,16.826318476877905,96.35149391056024,Thanlyin,0.2183474065816088,0.6610100335600341,1,0.5536533681057287,0.16216216216216217,5.458685164540221,5522.122419953346,0.4230386830984368,0.5784250084039999,0.0,7.0,45.760783,1,dashboard_rule_top_quartile_v1
43,Thanlyin,Min Ga Lun,MMR013023006,16.808804589030675,96.38458945716522,Thanlyin,0.295694709154842,0.6510906905654371,1,0.5856827410582576,0.16216216216216217,7.39236772887105,4852.199726104736,0.3789047459567543,0.6149881658566753,0.0,7.0,48.807167,1,dashboard_rule_top_quartile_v1
44,Thanlyin,Baw Tha Pyay Kan,MMR013023007,16.78388306446298,96.35401544972888,Thanlyin,0.3561318833990423,0.6759149972628228,1,0.5677206061467733,0.13513513513513514,8.903297084976058,6706.587297916412,0.3980064675629561,0.6264926428314267,0.0,6.0,51.310972,1,dashboard_rule_top_quartile_v1
45,Thanlyin,Kayin Seik,MMR013023008,16.763737150030625,96.38996811960034,Thanlyin,0.4575321651742328,0.6531062018993216,1,0.6017128303531883,0.08108108108108109,11.43830412935582,4981.400160193443,0.3506395481362949,0.6682903582064064,0.0,4.0,54.274329,1,dashboard_rule_top_quartile_v1
46,Thanlyin,Tha Pyay Kone,MMR013023009,16.870282188590494,96.3725625246941,Thanlyin,0.0261824495462661,0.5967274027065647,1,0.5565276505984099,0.16216216216216217,0.6545612386566548,2388.244408607483,0.4261859312838831,0.5414287187352629,0.0,7.0,36.589340,0,dashboard_rule_top_quartile_v1
47,Thanlyin,Bagan Taung,MMR013023010,16.849617009826435,96.38294217339087,Thanlyin,0.1246412315936635,0.6596248508172518,1,0.5720163346259055,0.08108108108108109,3.116030789841588,5423.287704229355,0.4030662347027151,0.5691824391785782,0.0,4.0,41.159983,0,dashboard_rule_top_quartile_v1
48,Thanlyin,Ah Lun Soke,MMR013023011,16.696946158499813,96.25483526624846,Thanlyin,0.021146086315169,0.7767094625363431,1,0.5145061330303953,0.10810810810810811,0.528652157879227,24956.17050886154,0.453221754014482,0.6683691737152997,0.0,5.0,40.016992,0,dashboard_rule_top_quartile_v1
49,Thanlyin,Kyaung Kone Seik Gyi (a) Gya Mar,MMR013023012,16.708279862214454,96.23767411213709,Thanlyin,0.0080041133344815,0.7757518058254688,1,0.5007109359249122,0.16216216216216217,0.2001028333620395,24646.54974508285,0.4733864898862808,0.6460703178116604,0.0,7.0,40.062853,0,dashboard_rule_top_quartile_v1
50,Thanlyin,Let Yet San,MMR013023013,16.70004004817721,96.30281039105157,Thanlyin,0.0214558611062388,0.734843304696136,1,0.5476439996457947,0.5405405405405406,0.5363965276559702,14459.320679426191,0.410043644774646,0.6921260153050415,0.0,21.0,44.865531,0,dashboard_rule_top_quartile_v1
51,Thanlyin,Thu Htay Kwin,MMR013023014,16.747549774219376,96.34130844278738,Thanlyin,0.2392138408937959,0.6560930224662415,1,0.5666754561246641,0.10810810810810811,5.980346022344897,5179.2167382240295,0.3932968751527812,0.6601479999698122,0.0,5.0,45.857208,1,dashboard_rule_top_quartile_v1
52,Thanlyin,Sit Pin Kwin,MMR013023015,16.746928833923445,96.31541024919552,Thanlyin,0.131883972532497,0.6775934477909491,1,0.5471193044836969,0.10810810810810811,3.2970993133124256,6854.9646137952805,0.418683912843123,0.6466624639976566,0.0,5.0,42.048171,0,dashboard_rule_top_quartile_v1
53,Thanlyin,Ba Yet,MMR013023016,16.765270030141608,96.3026449618421,Thanlyin,0.1439098941674555,0.6521366879492616,1,0.5331517298048192,0.16216216216216217,3.597747354186389,4918.827582120895,0.4399287649599464,0.6193921331948422,0.0,7.0,42.438257,0,dashboard_rule_top_quartile_v1
54,Thanlyin,Nga Byay Ma,MMR013023017,16.794403548316783,96.30636954582872,Thanlyin,0.1941133685409624,0.6899390147373329,1,0.5280865621840483,0.10810810810810811,4.852834213524062,8052.055376529694,0.4511687293173348,0.5894667859747807,0.0,5.0,44.639791,0,dashboard_rule_top_quartile_v1
55,Thanlyin,Nga/Pa,MMR013023018,16.782860547631838,96.27433626959431,Thanlyin,0.0918270456177618,0.6621305421680768,1,0.5078266413982826,0.13513513513513514,2.295676140444046,5603.388320922852,0.4758257268602665,0.5848099384699398,0.0,6.0,40.088197,0,dashboard_rule_top_quartile_v1
56,Thanlyin,Tha Nat Pin,MMR013023019,16.781036929707604,96.29181863246993,Thanlyin,0.1512534467469942,0.6347560684994007,1,0.52101234757019,0.16216216216216217,3.781336168674856,3921.407917022705,0.458296158732111,0.5962394500501049,0.0,7.0,42.166646,0,dashboard_rule_top_quartile_v1
