time,place,status,tsunami,significance,data_type,magnitudo,state,longitude,latitude,depth,date
1064217303450,"36 km E of Taungdwingyi, Myanmar",reviewed,0,354,earthquake,4.8, Myanmar,95.892,20.032,10.0,2003-09-22 07:55:03.450000+00:00
1064227856550,"29 km SE of Taungdwingyi, Myanmar",reviewed,0,369,earthquake,4.9, Myanmar,95.756,19.835,10.0,2003-09-22 10:50:56.550000+00:00
1064235052930,"21 km E of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.749,20.011,10.0,2003-09-22 12:50:52.930000+00:00
1064244590320,"32 km SSE of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.708,19.752,10.0,2003-09-22 15:29:50.320000+00:00
1064249012040,"27 km ENE of Myaydo, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.446,19.486,10.0,2003-09-22 16:43:32.040000+00:00
1064265392120,"26 km SSW of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.444,19.783,10.0,2003-09-22 21:16:32.120000+00:00
1064274696020,"37 km SSE of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.643,19.676,10.0,2003-09-22 23:51:36.020000+00:00
1064358215940,"31 km SSW of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.41,19.748,10.0,2003-09-23 23:03:35.940000+00:00
1064360798050,"27 km SE of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.743,19.84,10.0,2003-09-23 23:46:38.050000+00:00
1064456141560,"27 km S of Taungdwingyi, Myanmar",reviewed,0,222,earthquake,3.8, Myanmar,95.575,19.764,10.0,2003-09-25 02:15:41.560000+00:00
1064465909020,"14 km SSE of Taungdwingyi, Myanmar",reviewed,0,354,earthquake,4.8, Myanmar,95.579,19.876,10.0,2003-09-25 04:58:29.020000+00:00
1064534117890,"46 km SSE of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.695,19.615,10.0,2003-09-25 23:55:17.890000+00:00
1065028308610,"8 km SE of Taungdwingyi, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,95.597,19.949,10.0,2003-10-01 17:11:48.610000+00:00
1065127915030,"23 km NE of Myaydo, Myanmar",reviewed,0,271,earthquake,4.2, Myanmar,95.375,19.511,10.0,2003-10-02 20:51:55.030000+00:00
1065155070930,"13 km SSW of Taungdwingyi, Myanmar",reviewed,0,246,earthquake,4.0, Myanmar,95.488,19.899,10.0,2003-10-03 04:24:30.930000+00:00
1065184445450,"37 km NNW of Nay Pyi Taw, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,96.002,20.061,10.0,2003-10-03 12:34:05.450000+00:00
1066721543300,"37 km SSW of Taungdwingyi, Myanmar",reviewed,0,259,earthquake,4.1, Myanmar,95.412,19.694,10.0,2003-10-21 07:32:23.300000+00:00
1067527338180,"30 km SE of Taungdwingyi, Myanmar",reviewed,0,432,earthquake,5.3, Myanmar,95.742,19.808,10.0,2003-10-30 15:22:18.180000+00:00
1067529682890,"32 km SE of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.793,19.832,10.0,2003-10-30 16:01:22.890000+00:00
1067651629280,"24 km ENE of Taungdwingyi, Myanmar",reviewed,0,0,earthquake,0.0, Myanmar,95.775,20.054,10.0,2003-11-01 01:53:49.280000+00:00
1067770142220,"18 km SE of Taungdwingyi, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,95.66,19.88,10.0,2003-11-02 10:49:02.220000+00:00
1068126790100,"36 km SSE of Taungdwingyi, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,95.655,19.69,10.0,2003-11-06 13:53:10.100000+00:00
1068131934090,"33 km SSE of Taungdwingyi, Myanmar",reviewed,0,354,earthquake,4.8, Myanmar,95.702,19.741,10.0,2003-11-06 15:18:54.090000+00:00
