yangon_tower_id,distance_to_grouped_site_m,radio,MCC,MNC,TAC,CID,LON,LAT,RANGE,averageSignal,Network,adm3_name
4503,0.0,UMTS,414,1,7001,134165,96.150283813477,16.774063110352,1000,0,MPT,Latha
4504,0.0,UMTS,414,1,7001,134168,96.15097,16.774063,1000,0,MPT,Latha
2963,0.0,UMTS,414,1,351,2042664,96.063766479492,17.059707641602,1000,0,MPT,Hmawbi
2963,0.0,GSM,414,1,301,13112,96.063766479492,17.059707641602,1000,0,MPT,Hmawbi
6402,0.0,UMTS,414,1,351,2042833,96.159348,16.896011,1000,0,MPT,North Okkalapa
6881,0.0,UMTS,414,1,7001,133963,96.129227,16.805649,1000,0,MPT,Sanchaung
4906,0.0,UMTS,414,1,351,2041647,96.109085083008,16.861953735352,1000,0,MPT,Mayangone
4906,0.0,UMTS,414,1,351,2041649,96.109085083008,16.861953735352,1000,0,MPT,Mayangone
7509,0.0,UMTS,414,1,7001,133085,96.175003051758,16.812515258789,1000,0,MPT,Tamwe
7575,0.0,UMTS,414,1,7001,133476,96.176376342773,16.818008422852,1000,0,MPT,Tamwe
7575,0.0,UMTS,414,1,7001,133478,96.176376342773,16.818008422852,1000,0,MPT,Tamwe
7575,0.0,UMTS,414,1,7001,133473,96.176376342773,16.818008422852,1000,0,MPT,Tamwe
2358,0.0,UMTS,414,1,351,2042335,96.054153442383,16.855087280273,1000,0,MPT,Hlaingtharya (East)
5144,0.0,UMTS,414,1,351,2041779,96.137924194336,16.86882019043,1000,0,MPT,Mayangone
5144,0.0,GSM,414,1,351,11023,96.137924194336,16.86882019043,1000,0,MPT,Mayangone
5173,0.074,GSM,414,1,300,12733,96.139297,16.870193,1000,0,MPT,Mayangone
4352,0.0,UMTS,414,1,7001,132503,96.143417358398,16.775436401367,1000,0,MPT,Lanmadaw
4352,0.0,UMTS,414,1,7001,132509,96.143417358398,16.775436401367,1000,0,MPT,Lanmadaw
7987,0.0,UMTS,414,1,7002,591737,96.191998,16.818352,1000,0,MPT,Thingangyun
7985,0.0,UMTS,414,1,7002,591740,96.192032,16.818283,1000,0,MPT,Thingangyun
