candidate_id,adm3_name,adm4_name,lat,lon,is_rural,nearest_tower_km,gap_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,hazard_score,safety_score,baseline_suitability,adm4_pcode,population_2020,population_score,nearest_tower_id,nearest_tower_lat,nearest_tower_lon,nearest_tower_township,nearest_tower_networks,nearest_tower_radios,nearest_tower_cell_count,nearest_tower_recheck_km,elevation_m,elevation_score
100,Kyauktan,Tar Pat,16.653490003806127,96.5103851015935,1,12.52960563431103,0.5011842253724412,131.39376878225562,0.0769342942420847,0.1724337456933755,0.8634454908985352,0.0,0.2760855074741494,0.7239144925258505,65.92977091023423,MMR013024037,1921.4556761980057,0.5800520760760955,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,12.529605634310895,4.0,0.08108108108108109
101,Kyauktan,Ka Dat Pa Na,16.679922874729552,96.53799421614733,1,9.33300708616065,0.373320283446426,130.54882597942688,0.0765084360766134,0.1490884423217303,0.8466753574791214,0.0,0.253726479595339,0.746273520404661,58.59331981285548,MMR013024038,2276.146033525467,0.5930410324886229,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,9.333007086160936,3.0,0.05405405405405406
102,Kyauktan,Win Gyi,16.670567202946074,96.57948895988416,1,11.42144679815693,0.4568578719262772,128.61540870350257,0.0773748103146722,0.0956691899186993,0.880792847153901,0.0,0.2134377385039795,0.7865622614960204,64.20990623801694,MMR013024039,3772.236082851887,0.6317817093590887,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,11.421446798157168,5.0,0.10810810810810811
103,Kyauktan,Sit Tan,16.64342084853616,96.5885620106706,1,14.57210116355482,0.5828840465421928,127.87980792837794,0.0783543275505714,0.0753449464335667,0.9193658652724208,0.0,0.2019480842593948,0.7980519157406052,71.94382152864065,MMR013024040,2461.5975289940834,0.5990471580568044,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,14.572101163555606,6.0,0.13513513513513514
104,Kyauktan,Poke Ta Loke,16.639589456240568,96.63097471358132,1,17.216241914816592,0.6886496765926637,125.92937145731592,0.0790703673430344,0.0214554630606982,0.947563241363409,0.0,0.1603716298061048,0.8396283701938951,78.91340614846825,MMR013024041,2718.890847980976,0.6066704844208973,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,17.216241914817825,5.0,0.10810810810810811
105,Kyauktan,Ma Yan Bay,16.65461383655088,96.65195654109183,1,17.43477299701923,0.6973909198807692,125.15282814982932,0.0788800906598738,0.0,0.94007021757772,0.0,0.141010532636658,0.858989467363342,79.72829720329628,MMR013024042,2732.3870149850845,0.6070501933821589,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,17.434772997020062,5.0,0.10810810810810811
106,Kyauktan,Shan Chaung,16.546426248877037,96.58422419425696,1,24.74427092686636,0.9897708370746544,127.05382526298106,0.0814096778143812,0.0525235011962627,1.0,0.0,0.1946449760168233,0.8053550239831767,96.46657558422692,MMR013024043,2274.198582023382,0.5929753985162297,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,24.74427092686682,6.0,0.13513513513513514
107,Kyauktan,Tu Myaung,16.60848298479104,96.57248322775186,1,17.737841886561366,0.7095136754624547,128.19559467800445,0.0792343135826883,0.0840699600630043,0.954019382246758,0.0,0.2145623733905673,0.7854376266094326,79.35238492688876,MMR013024044,2280.0555495023727,0.5931726236484056,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,17.737841886561853,5.0,0.10810810810810811
108,Kyauktan,Ta Man Gyi Kone,16.598866625149565,96.62039544506814,1,20.496245316522337,0.8198498126608935,125.95313642451444,0.0802321834393315,0.0221120759900107,0.9933151196258831,0.0,0.1677925325353916,0.8322074674646084,86.67410077162273,MMR013024045,3190.212604522705,0.6189298778617951,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,20.49624531652304,7.0,0.16216216216216217
109,Kyauktan,Aung Chan Thar,16.561909324174675,96.61509129132249,1,24.035310542753493,0.9614124217101396,125.81851997129344,0.0813597145646994,0.0183926976738242,1.0,0.0,0.1656337930227505,0.8343662069772494,95.20023840726712,MMR013024046,2341.058660596609,0.5951972258868418,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,24.03531054275391,7.0,0.16216216216216217
110,Kyauktan,Ku Lar Tan,16.494773702907377,96.42047990003884,1,18.28914289887496,0.7315657159549983,133.4529980898464,0.0805508212305322,0.2293291151036451,1.0,0.0,0.3449297478380983,0.6550702521619016,78.71999673972842,MMR013024047,2947.172337770462,0.6128530416315852,4196,16.631240844727,96.324691772461,Kyauktan,Ooredoo,UMTS,1,18.28914289887624,6.0,0.13513513513513514
111,Kyauktan,Zee Hpyu Pin,16.6795138166087,96.5134130802942,1,9.63504436489792,0.3854017745959167,131.59376088578054,0.076178000159181,0.1779594171507713,0.8336629160814673,0.0,0.2763149419903756,0.7236850580096243,58.97938234589937,MMR013024049,1191.9829800128937,0.5434488906838026,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,9.635044364898295,3.0,0.05405405405405406
112,Kyauktan,Urban,16.636457032911988,96.31353202497972,0,1.1931362292894825,0.0477254491715792,138.74700404460742,0.0745817263854343,0.3755995782065096,0.7708022588717709,0.0,0.4348799803062987,0.5651200196937012,11.340327245700276,MMR013024701,20122.385135889053,0.7601948646502003,4195,16.631240844727,96.323318481445,Kyauktan,Ooredoo,UMTS,1,1.1931362292885015,6.0,0.13513513513513514
113,Kyauktan,Urban,16.638895804180578,96.54087901326636,0,13.904246524143833,0.5561698609657533,129.91768286180593,0.0778214483601611,0.1316503062698472,0.8983812843856838,0.0,0.2466599529872226,0.7533400470127773,44.67029236313685,MMR013024702,11366.645727276802,0.7163833830129376,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,13.904246524144195,7.0,0.16216216216216217
114,Insein,Urban,16.90282377,96.10389661,0,0.4209462120437818,0.0168378484817512,150.36870860433234,0.0643059016717413,0.8438962275839595,0.7935920281718544,0.0,0.8363505976721438,0.1636494023278561,3.465011943822919,MMR013001701,380746.2488117218,0.9857495626315124,3525,16.906473,96.102844,Insein,Telenor,UMTS,1,0.4209462120436744,18.0,0.4594594594594595
